ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_nde24
2024,01,24468,1,0013,1,1,202210244681001312,1,2,2,1,2, ,2,38,2,2,12,3,1985,1, , , , , , , , , , , , , , , ,9321,2220,3,5,1, ,3,100,0,11,11,11,11,0,0,44, ,44,1, ,2, ,2,2,4,1125, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,1,1125, , , , , , , ,85,1125,1125,1210,1,733.019503298981
2024,01,24468,1,0013,1,1,202210244681001313,1,3,3,1,2, ,2,15,3,3,14,3,2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,1,5, , ,2,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,9,4, , , , , , , , , , , , ,1,743.053377312333
2024,01,24468,1,0014,1,1,202310244681001411,1,1,1,1,2, ,1,57,1,1,17,10,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,1,13,4,4,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,9,2, , , , , , , , , , , , ,1,618.03081791125
2024,01,24468,1,0014,1,1,202310244681001412,1,2,2,1,2, ,2,45,2,2,30,1,1978,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,6,6,6,6,6,0,30, ,30,1, ,2, ,2,2,4,250,10, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,2, ,2,2,2,2,2,2,10,7,1,250,300, , , , , , , ,550,550,550,1,581.189472653505
2024,01,24650,1,0009,1,1,202301246501000913,1,1,1,1,2, ,2,49,1,1,31,8,1974,1, , , , , , , , , , , , , , , ,9411,5630,2, ,3,2,1,1,6,0,6,6,6,6,6,36, ,36,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,1, , ,890,10, , , , , ,900,900,900,1,802.212403398996
2024,01,20390,1,0020,1,1,202310203901002011,1,1,1,1,2, ,1,20,1,1,17,6,2003,1, , , , , , , , , , , , , , , ,9621,5610,3,5,2,2,1,5,0,8,8,8,8,8,6,46, ,46,1, ,2, ,2,2,2,300,60, , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,5,1,1299,260, , , , , , , ,1559,1559,1559,1,723.116727950075
2024,01,20390,1,0020,1,1,202310203901002012,1,2,2,1,2, ,2,17,2,2,17,7,2006,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,5, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,789.306595171088
2024,01,23162,1,0034,1,1,202301231621003411,1,1,1,1,2, ,1,29,1,1,8,10,1994,1, , , , , , , , , , , , , , , ,7111,4100,2, ,3,2,1,1,0,0,0,8,0,0,0,8, ,48,2,48,1,1,1,1, , , , , , , , , , , , , , , , ,1,1,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,10,1, ,2,2,2,2,2,2,10,7,1, , ,480, , , , , , ,480,480,480,1,923.07738622294
2024,01,23162,1,0034,1,1,202301231621003412,1,2,2,1,2, ,2,28,2,2,23,12,1995,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2,5, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,10,4, ,2,2,2,2,2,2,10,9,4, , , , , , , , , , , , ,1,882.881346619387
2024,01,23162,1,0035,1,1,202301231621003512,1,2,2,1,2, ,2,40,2,2,26,9,1983,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,1,13,2,4,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1,882.881346619387
